Track URI,Track Name,Artist URI,Artist Name,Album URI,Album Name,Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,Added By,Added At,Artist Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2XqmCmsfVUM71ntOUR9Hgf,Rip Off,spotify:artist:10U1DbsjhgAqUMcouK267Q,Caroline Says,spotify:album:0Asa1XxaMUcFGT8M5MSs7M,No Fool Like an Old Fool,2018-03-16,https://i.scdn.co/image/ab67616d0000b273703f6bff7e8450981794fdf6,1,5,214141,https://p.scdn.co/mp3-preview/6fea35f7341b987dfb58fd3e7eddb8c4205c97a9?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,5,,2018-04-09T14:37:46Z,small room,0.559,0.701,10,-12.389,1,0.0476,0.277,0.892,0.144,0.282,108.997,4
spotify:track:2eODfcFnwGZtmiQNu7pA8N,Who Is Speaking?,spotify:artist:4oCcCzMjKNCjQTzxtVlOJT,Loma,spotify:album:1yXlpa0dqoQCfucRNUpb8N,Loma,2018-02-16,https://i.scdn.co/image/ab67616d0000b2739948b8856bf5520c5d08cb6d,1,1,134973,,FALSE,2,,2018-04-08T03:57:55Z,"art pop,chamber pop,chamber psych,freak folk,garage psych,indie folk,modern psychedelic folk",0.181,0.241,5,-15.161,1,0.034,0.786,0.619,0.201,0.0881,82.05,3
spotify:track:5hRm3jPT463zpu94TMgCpO,Cinnamon,spotify:artist:4AgusFXPk24LCGMMplX34M,Palehound,spotify:album:3NCXxADFebp2Z7OMAnt6KE,Dry Food,2015-08-14,https://i.scdn.co/image/ab67616d0000b2739db1991c8fa837f5c48cdec2,1,4,214067,,FALSE,0,,2018-04-08T03:57:51Z,"boston indie,boston rock,bubblegrunge,indie punk,indie rock,new england emo",0.395,0.703,5,-8.485,1,0.0405,0.246,0.392,0.101,0.345,136.191,4
spotify:track:7kAaW4SvzEe2VnVOrEAfYM,First Song,spotify:artist:10U1DbsjhgAqUMcouK267Q,Caroline Says,spotify:album:0Asa1XxaMUcFGT8M5MSs7M,No Fool Like an Old Fool,2018-03-16,https://i.scdn.co/image/ab67616d0000b273703f6bff7e8450981794fdf6,1,1,228242,https://p.scdn.co/mp3-preview/2ef48c59d0a4a02bbde7214c0d7a07e941ed7352?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,8,,2018-04-08T03:57:43Z,small room,0.412,0.349,3,-14.899,1,0.0309,0.949,0.38,0.138,0.288,125.048,4
spotify:track:333ynS8xzTSbeRxxodU33d,Interstate Vision,spotify:artist:6zcDLZ62JsbVM1nLrQMzi4,Lomelda,spotify:album:5ftfK29sHT2Tx7Wc3NMbqR,Thx,2017-09-08,https://i.scdn.co/image/ab67616d0000b2739ba8abb7ad732fae22d6c935,1,1,162624,,FALSE,0,,2018-04-08T03:57:37Z,"art pop,bubblegrunge,chamber pop,freak folk,garage psych,indie folk,indie rock,small room",0.607,0.333,4,-13.89,0,0.0255,0.55,0,0.165,0.499,82.025,4
spotify:track:2o46Prq1O4afsk1ps4nmDK,Miki Dora,spotify:artist:1jwOuEBcOKq0BeudSarbEM,Amen Dunes,spotify:album:37m11djrDfbZ1HbCwCdRYM,Miki Dora,2018-01-17,https://i.scdn.co/image/ab67616d0000b273372684aa37dce98f04f46508,1,1,303640,,FALSE,0,,2018-04-08T03:57:24Z,"art pop,chamber psych,freak folk,garage psych,indie rock,modern psychedelic folk,neo-psychedelic,popgaze",0.826,0.501,10,-12.31,1,0.0471,0.663,0.199,0.0864,0.557,123.579,4
spotify:track:3VJonBmEOOfXXfKRdmpBbG,She Won't Go Away,spotify:artist:5szilpXHcwOqnyKLqGco5j,Faye Webster,spotify:album:33jl8hG60q1xxP92e0GplE,Faye Webster,2017-05-12,https://i.scdn.co/image/ab67616d0000b27371991a7f88fffd784fccb739,1,1,185646,,FALSE,0,,2018-04-08T03:57:17Z,"art pop,atlanta indie,indie folk,indie pop,indie rock",0.71,0.393,9,-9.306,1,0.0294,0.304,0.00000242,0.105,0.446,92.993,4
spotify:track:1uKsJn0YhTzzzdwMRljafu,A Good Thief Steals Clean,spotify:artist:10U1DbsjhgAqUMcouK267Q,Caroline Says,spotify:album:0Asa1XxaMUcFGT8M5MSs7M,No Fool Like an Old Fool,2018-03-16,https://i.scdn.co/image/ab67616d0000b273703f6bff7e8450981794fdf6,1,4,148982,https://p.scdn.co/mp3-preview/9cf88dfe2ede995d6d903cf019f2ab0b49832c7d?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,11,,2018-04-08T03:57:11Z,small room,0.556,0.451,2,-14.211,1,0.0423,0.758,0.704,0.0819,0.248,125.995,4
spotify:track:4wH3bYbY58ES3GrYbnkQdF,A Day In The Life,spotify:artist:03YhcM6fxypfwckPCQV8pQ,Wes Montgomery,spotify:album:74ZXeJWQUZmewROkyXpPHT,A Day In The Life,1967-01-01,https://i.scdn.co/image/ab67616d0000b27365226774d244700746046cc0,1,1,349906,,FALSE,0,,2018-04-08T02:22:20Z,"bebop,contemporary post-bop,cool jazz,hard bop,jazz,jazz funk,jazz fusion,jazz guitar,soul jazz",0.495,0.352,9,-10.518,0,0.0262,0.559,0.328,0.0665,0.35,98.468,4
spotify:track:1yxJK6q9oymWO3vjbPCYmp,Bumpin' On Sunset,spotify:artist:03YhcM6fxypfwckPCQV8pQ,Wes Montgomery,spotify:album:7DGv1MKlPZrLkP0HCSDm8I,Tequila (Expanded Edition),1966-12-03,https://i.scdn.co/image/ab67616d0000b2734670952b94c4205d4895fa0a,1,5,289000,https://p.scdn.co/mp3-preview/dcf2867d84a292932293f1ecbc4c96a63eef1ed3?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,52,,2018-04-08T02:06:01Z,"bebop,contemporary post-bop,cool jazz,hard bop,jazz,jazz funk,jazz fusion,jazz guitar,soul jazz",0.759,0.247,4,-19.827,0,0.0521,0.875,0.432,0.0978,0.443,107.601,4
spotify:track:00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),"spotify:artist:4kYSro6naA4h99UJvo89HB, spotify:artist:1anyVhU62p31KFi8MEzkbf","Cardi B, Chance the Rapper",spotify:album:4KdtEKjY3Gi0mKiSdy96ML,Invasion of Privacy,2018-04-06,https://i.scdn.co/image/ab67616d0000b273a0caffda54afd0a65995bbab,1,6,284855,https://p.scdn.co/mp3-preview/f01398705a41b489fe10165fabcbb959f237fb8a?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,58,,2018-04-06T18:43:14Z,"dance pop,pop,pop rap,rap,chicago rap,conscious hip hop,hip hop,pop rap,rap",0.62,0.625,9,-7.438,1,0.553,0.287,0,0.314,0.665,167.911,4
spotify:track:54IbnYEdA3ymfxv07WgN3b,Your Teeth In My Neck,spotify:artist:1U1el3k54VvEUzo3ybLPlM,Kali Uchis,spotify:album:4EPQtdq6vvwxuYeQTrwDVY,Isolation,2018-04-06,https://i.scdn.co/image/ab67616d0000b27390b4e1905b1fc48c537ec053,1,5,186181,https://p.scdn.co/mp3-preview/2f27c999ee94fdf861a69ec7b2a771100197d03f?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,60,,2018-04-06T17:08:04Z,"colombian pop,dance pop,pop",0.853,0.604,3,-5.794,0,0.0511,0.0696,0.00000165,0.135,0.86,116,4
spotify:track:2pd1q68ypWXXUhcK1WjstN,Party on Me,"spotify:artist:10AY17ALos2o3akPqrPydw, spotify:artist:3aGFCoR8xGN6DKwvdzeSja, spotify:artist:7e7nmtA3OQEUdVjn5rG3Tz","Father, ILOVEMAKONNEN, Ethereal",spotify:album:2HNecmQJVntTqUqraLaz0H,I'm a Piece of Shit,2016-04-07,https://i.scdn.co/image/ab67616d0000b273df58a6d603a9800f14b49f1e,1,7,244000,https://p.scdn.co/mp3-preview/1e55ba5bcb984097289c023bd946af0ab6a8ef14?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,9,,2018-04-06T04:31:42Z,"underground hip hop,vapor trap,atl hip hop,lgbtq+ hip hop,trap,underground hip hop,underground hip hop,vapor trap",0.859,0.434,6,-12.591,0,0.216,0.324,0.000585,0.275,0.503,119.97,4
